number,achieve'money,change(%)
3815645,39389575,0.424
3420550,35395978,0.3801
5369477,55222930,0.5966
3276130,33626902,0.364
6289890,65428313,0.6989
4124965,42882494,0.4583
3977754,41124152,0.442
3670714,38063822,0.4079
4464100,45320247,0.496
6478858,64679555,0.7199
6825738,67705064,0.7584
4730687,47236608,0.5256
4934550,50008272,0.5483
5967081,58991637,0.663
6964057,68448759,0.7738
7398328,70569691,0.822
6019750,56919297,0.6689
6832954,64441860,0.7592
13317289,128343268,1.4797
3830107,36746439,0.4256
16618246,163692373,1.8465
9644024,96334110,1.0716
5486933,54517272,0.6097
4349112,42907618,0.4832
6765462,64546322,0.7517
4910949,46496911,0.5457
2158871,20493884,0.2399
1957430,18671565,0.2175
8449327,80745554,0.9388
6483809,63007997,0.7204
5104605,48673496,0.5672
13650211,127294804,1.5167
4054134,37302360,0.4505
6011149,56006040,0.6679
1904750,17618810,0.2116
9853369,88414080,1.0948
11765009,108288911,1.3072
9312222,86735912,1.0347
7146780,64946866,0.7941
6875962,61978049,0.764
6288540,57510900,0.6987
16433465,154402848,1.8259
6552419,62150733,0.728
3521713,33162822,0.3913
4301995,40763492,0.478
18421626,180677862,2.0468
7833897,76534272,0.8704
7837014,74550073,0.8708
6452468,59518936,0.7169
5381571,49531853,0.598
4099820,37611594,0.4555
10835536,95306248,1.2039
5566285,48559710,0.6185
2352385,20721299,0.2614
2458029,21475886,0.2731
2668913,22988247,0.2965
2986999,25972242,0.3319
6255895,56126650,0.6951
7863385,71545403,0.8737
12765063,118662266,1.4183
20139683,193929077,2.2377
6050809,57211987,0.6723
5497777,51665492,0.6109
3758391,35036323,0.4176
9502284,90878684,1.0558
7735663,74530558,0.8595
17969953,170811773,1.9967
22879906,224329337,2.5422
8270190,80846882,0.9189
7116145,68932558,0.7907
5646898,53618654,0.6274
33204783,329352209,3.6894
35455597,360885423,3.9395
N/A,N/A,N/A
16148321,165863518,1.7943
10076929,100333456,1.1197
6867643,68864615,0.7631
5461276,54375561,0.6068
10245891,101806710,1.1384
17063533,172634264,1.8959
13748471,143562431,1.5276
13916074,147861174,1.5462
7883603,82362401,0.876
7690336,80209854,0.8545
8750159,90486171,0.9722
10050617,104777213,1.1167
11393676,118852168,1.266
11565225,121756888,1.285
20455286,222229942,2.2728
29360563,335053888,3.2623
16976864,196239667,1.8863
10316970,119098328,1.1463
19347104,223874999,2.1497
21750663,252957134,2.4167
12727758,151294068,1.4142
10851647,123891721,1.2057
6788821,77509849,0.7543
7761318,88230923,0.8624
7123790,81491480,0.7915
7434862,84613979,0.8261
15618424,181291811,1.7354
11308868,133213194,1.2565
16943367,203429764,1.8826
23727371,294022953,2.6364
19576688,238716197,2.1752
7197401,88506908,0.7997
10853414,131937357,1.2059
12827484,151013107,1.4253
16046794,186203527,1.783
8563082,99313593,0.9515
7961608,93636270,0.8846
8845753,105368240,0.9829
12777858,151014629,1.4198
12576189,145736587,1.3974
11090699,128818177,1.2323
20881961,238319828,2.3202
15725679,172404682,1.7473
14327031,155454047,1.5919
7121803,76071689,0.7913
10808644,116895324,1.201
12768156,136276365,1.4187
10942129,119129030,1.2158
8026108,87402833,0.8918
7254816,77768967,0.8061
4528478,48795075,0.5032
7089919,74282947,0.7878
7144365,74246064,0.7938
8825538,93035575,0.9806
9587131,103517675,1.0652
7707684,82063043,0.8564
14434661,157474175,1.6039
12631518,139297303,1.4035
13042854,144583399,1.4492
13302129,147832810,1.478
12042229,132147677,1.338
15386398,172829685,1.7096
15114913,169297612,1.6794
10584069,116759971,1.176
11085719,123651303,1.2317
5064664,55914078,0.5627
4337715,47970709,0.482
N/A,N/A,N/A
6450450,70103531,0.7167
7045292,77968306,0.7828
7458130,83422786,0.8287
7952693,89272749,0.8836
9634859,106640508,1.0705
10079262,111118087,1.1199
28310621,302666828,3.1456
